occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,319080,132570
11-3021,Computer and Information Systems Managers,319080,132570
15-0000,Computer and Mathematical Occupations,3696180,82010
15-1100,Computer Occupations,3573120,81860
15-1110,Computer and Information Research Scientists,24380,109260
15-1111,Computer and Information Research Scientists,24380,109260
15-1120,Computer and Information Analysts,585120,86100
15-1121,Computer Systems Analysts,507100,85320
15-1122,Information Security Analysts,78020,91210
15-1130,Software Developers and Programmers,1442500,92820
15-1131,Computer Programmers,312340,80930
15-1132,"Software Developers, Applications",643830,96260
15-1133,"Software Developers, Systems Software",373510,104480
15-1134,Web Developers,112820,67540
15-1140,Database and Systems Administrators and Network Architects,618480,82960
15-1141,Database Administrators,114910,80740
15-1142,Network and Computer Systems Administrators,362310,77910
15-1143,Computer Network Architects,141270,97700
15-1150,Computer Support Specialists,706360,53660
15-1151,Computer User Support Specialists,541250,50450
15-1152,Computer Network Support Specialists,165100,64160
15-1190,Miscellaneous Computer Occupations,196280,83240
15-1199,"Computer Occupations, All Other",196280,83240
17-2060,Computer Hardware Engineers,77670,106930
17-2061,Computer Hardware Engineers,77670,106930
17-2072,"Electronics Engineers, Except Computer",135350,97870
25-1020,"Math and Computer Teachers, Postsecondary",89740,76910
25-1021,"Computer Science Teachers, Postsecondary",35770,80990
43-9010,Computer Operators,67450,40040
43-9011,Computer Operators,67450,40040
43-9070,"Office Machine Operators, Except Computer",66840,29710
43-9071,"Office Machine Operators, Except Computer",66840,29710
49-2010,"Computer, Automated Teller, and Office Machine Repairers",110850,38310
49-2011,"Computer, Automated Teller, and Office Machine Repairers",110850,38310
51-4010,Computer Control Programmers and Operators,164270,39070
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",139930,37310
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",24340,49170
