occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and Information Scientists, Research",25620,76970
15-1021,Computer Programmers,501550,62890
15-1031,"Computer Software Engineers, Applications",361690,72370
15-1032,"Computer Software Engineers, Systems Software",261520,74490
15-1041,Computer Support Specialists,493240,41920
15-1051,Computer Systems Analysts,448270,63710
15-1061,Database Administrators,104250,58420
15-1071,Network and Computer Systems Administrators,227840,56440
15-1081,Network Systems and Data Communications Analysts,126060,60300
