occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",23770,85240
15-1021,Computer programmers,403220,65170
15-1031,"Computer software engineers, applications",410580,76260
15-1032,"Computer software engineers, systems software",292520,79790
15-1041,Computer support specialists,480520,43140
15-1051,Computer systems analysts,485720,67040
15-1061,Database administrators,97540,62100
15-1071,Network and computer systems administrators,244610,60100
15-1081,Network systems and data communications analysts,156270,62220
