occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",27650,96440
15-1021,Computer programmers,396020,69500
15-1031,"Computer software engineers, applications",472520,82000
15-1032,"Computer software engineers, systems software",329060,87250
15-1041,Computer support specialists,514460,44350
15-1051,Computer systems analysts,446460,72230
15-1061,Database administrators,109840,67460
15-1071,Network and computer systems administrators,289520,65260
15-1081,Network systems and data communications analysts,203710,67460
15-1099,"Computer specialists, all other",180270,69370
