occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,309740,129130
11-3021,Computer and Information Systems Managers,309740,129130
15-0000,Computer and Mathematical Occupations,3578220,80180
15-1100,Computer Occupations,3456500,80020
15-1110,Computer and Information Research Scientists,24880,103670
15-1111,Computer and Information Research Scientists,24880,103670
15-1120,Computer and Information Analysts,554710,84520
15-1121,Computer Systems Analysts,482040,83800
15-1122,Information Security Analysts,72670,89290
15-1130,Software Developers and Programmers,1397780,90470
15-1131,Computer Programmers,316790,78260
15-1132,"Software Developers, Applications",586340,93280
15-1133,"Software Developers, Systems Software",391700,102550
15-1134,Web Developers,102940,66100
15-1140,Database and Systems Administrators and Network Architects,599800,80910
15-1141,Database Administrators,111590,79120
15-1142,Network and Computer Systems Administrators,350320,76320
15-1143,Computer Network Architects,137890,94000
15-1150,Computer Support Specialists,693610,53230
15-1151,Computer User Support Specialists,525630,50130
15-1152,Computer Network Support Specialists,167980,62960
15-1190,Miscellaneous Computer Occupations,185730,81860
15-1199,"Computer Occupations, All Other",185730,81860
17-2060,Computer Hardware Engineers,79580,103980
17-2061,Computer Hardware Engineers,79580,103980
17-2072,"Electronics Engineers, Except Computer",134960,95250
25-1020,"Math and Computer Teachers, Postsecondary",87880,75800
25-1021,"Computer Science Teachers, Postsecondary",34350,79870
43-9010,Computer Operators,71560,39720
43-9011,Computer Operators,71560,39720
43-9070,"Office Machine Operators, Except Computer",66820,29580
43-9071,"Office Machine Operators, Except Computer",66820,29580
49-2010,"Computer, Automated Teller, and Office Machine Repairers",113480,38550
49-2011,"Computer, Automated Teller, and Office Machine Repairers",113480,38550
51-4010,Computer Control Programmers and Operators,162860,38550
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",138870,36810
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",23990,48640
