occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",26130,105370
15-1021,Computer programmers,367880,74690
15-1031,"Computer software engineers, applications",495500,90170
15-1032,"Computer software engineers, systems software",385200,96620
15-1041,Computer support specialists,540560,47360
15-1051,Computer systems analysts,512720,80430
15-1061,Database administrators,108080,74290
15-1071,Network and computer systems administrators,338890,70930
15-1081,Network systems and data communications analysts,226080,76560
15-1099,"Computer specialists, all other",195890,78010
