occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",25890,94030
15-1021,Computer programmers,389090,67400
15-1031,"Computer software engineers, applications",455980,79540
15-1032,"Computer software engineers, systems software",320720,84310
15-1041,Computer support specialists,499860,43380
15-1051,Computer systems analysts,492120,70430
15-1061,Database administrators,99380,65590
15-1071,Network and computer systems administrators,270330,63210
15-1081,Network systems and data communications analysts,185190,64970
15-1099,"Computer specialists, all other",116760,63190
