occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,365690,149730
11-3021,Computer and Information Systems Managers,365690,149730
15-0000,Computer and Mathematical Occupations,4261460,89810
15-1100,Computer Occupations,4094930,89780
15-1110,Computer and Information Research Scientists,27920,119570
15-1111,Computer and Information Research Scientists,27920,119570
15-1120,Computer and Information Analysts,687210,93800
15-1121,Computer Systems Analysts,581960,92740
15-1122,Information Security Analysts,105250,99690
15-1130,Software Developers and Programmers,1617400,102470
15-1131,Computer Programmers,247690,87530
15-1132,"Software Developers, Applications",849230,106710
15-1133,"Software Developers, Systems Software",394590,111780
15-1134,Web Developers,125890,74110
15-1140,Database and Systems Administrators and Network Architects,646570,92070
15-1141,Database Administrators,113690,89050
15-1142,Network and Computer Systems Administrators,375040,86340
15-1143,Computer Network Architects,157830,107870
15-1150,Computer Support Specialists,800010,57260
15-1151,Computer User Support Specialists,613780,54150
15-1152,Computer Network Support Specialists,186230,67510
15-1190,Miscellaneous Computer Occupations,315830,91080
15-1199,"Computer Occupations, All Other",315830,91080
17-2060,Computer Hardware Engineers,66770,119650
17-2061,Computer Hardware Engineers,66770,119650
17-2072,"Electronics Engineers, Except Computer",134930,106760
25-1020,"Math and Computer Teachers, Postsecondary",83100,87380
25-1021,"Computer Science Teachers, Postsecondary",32230,91590
43-9010,Computer Operators,40400,45320
43-9011,Computer Operators,40400,45320
43-9070,"Office Machine Operators, Except Computer",54950,33190
43-9071,"Office Machine Operators, Except Computer",54950,33190
49-2010,"Computer, Automated Teller, and Office Machine Repairers",100580,40140
49-2011,"Computer, Automated Teller, and Office Machine Repairers",100580,40140
51-4010,Computer Control Programmers and Operators,168450,43100
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",144660,41010
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",23790,55770
