occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,330360,136280
11-3021,Computer and Information Systems Managers,330360,136280
15-0000,Computer and Mathematical Occupations,3834180,83970
15-1100,Computer Occupations,3692980,83840
15-1110,Computer and Information Research Scientists,24210,113190
15-1111,Computer and Information Research Scientists,24210,113190
15-1120,Computer and Information Analysts,608500,87890
15-1121,Computer Systems Analysts,528320,87320
15-1122,Information Security Analysts,80180,91600
15-1130,Software Developers and Programmers,1492040,95280
15-1131,Computer Programmers,302150,82690
15-1132,"Software Developers, Applications",686470,99530
15-1133,"Software Developers, Systems Software",382400,106050
15-1134,Web Developers,121020,68670
15-1140,Database and Systems Administrators and Network Architects,617680,84970
15-1141,Database Administrators,112170,82280
15-1142,Network and Computer Systems Administrators,365430,79770
15-1143,Computer Network Architects,140080,100710
15-1150,Computer Support Specialists,738030,54960
15-1151,Computer User Support Specialists,563540,51500
15-1152,Computer Network Support Specialists,174490,66140
15-1190,Miscellaneous Computer Occupations,212510,85520
15-1199,"Computer Occupations, All Other",212510,85520
17-2060,Computer Hardware Engineers,76360,110650
17-2061,Computer Hardware Engineers,76360,110650
17-2072,"Electronics Engineers, Except Computer",133990,99660
25-1020,"Math and Computer Teachers, Postsecondary",89420,76780
25-1021,"Computer Science Teachers, Postsecondary",35410,80730
43-9010,Computer Operators,58060,41240
43-9011,Computer Operators,58060,41240
43-9070,"Office Machine Operators, Except Computer",66530,30200
43-9071,"Office Machine Operators, Except Computer",66530,30200
49-2010,"Computer, Automated Teller, and Office Machine Repairers",110940,38450
49-2011,"Computer, Automated Teller, and Office Machine Repairers",110940,38450
51-4010,Computer Control Programmers and Operators,172990,39690
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",148040,37920
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",24960,50200
