occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",28720,100640
15-1021,Computer programmers,394710,72010
15-1031,"Computer software engineers, applications",495810,85660
15-1032,"Computer software engineers, systems software",349140,90780
15-1041,Computer support specialists,525570,45300
15-1051,Computer systems analysts,464440,75890
15-1061,Database administrators,116340,70260
15-1071,Network and computer systems administrators,309660,67850
15-1081,Network systems and data communications analysts,216050,70760
15-1099,"Computer specialists, all other",182690,72310
