occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",23210,84530
15-1021,Computer programmers,431640,64510
15-1031,"Computer software engineers, applications",392140,75750
15-1032,"Computer software engineers, systems software",285760,78400
15-1041,Computer support specialists,482990,42640
15-1051,Computer systems analysts,474780,66180
15-1061,Database administrators,100890,61440
15-1071,Network and computer systems administrators,237980,59140
15-1081,Network systems and data communications analysts,148030,62060
