occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,391430,152860
11-3021,Computer and Information Systems Managers,391430,152860
15-0000,Computer and Mathematical Occupations,4384300,91530
15-1100,Computer Occupations,4214820,91480
15-1110,Computer and Information Research Scientists,30070,123850
15-1111,Computer and Information Research Scientists,30070,123850
15-1120,Computer and Information Analysts,696030,94990
15-1121,Computer Systems Analysts,587970,93610
15-1122,Information Security Analysts,108060,102470
15-1130,Software Developers and Programmers,1666270,104480
15-1131,Computer Programmers,230470,89580
15-1132,"Software Developers, Applications",903160,108080
15-1133,"Software Developers, Systems Software",405330,114000
15-1134,Web Developers,127300,75580
15-1140,Database and Systems Administrators and Network Architects,629020,93780
15-1141,Database Administrators,110090,92030
15-1142,Network and Computer Systems Administrators,366250,87070
15-1143,Computer Network Architects,152670,111130
15-1150,Computer Support Specialists,812060,57950
15-1151,Computer User Support Specialists,630700,55050
15-1152,Computer Network Support Specialists,181360,68050
15-1190,Miscellaneous Computer Occupations,381380,93350
15-1199,"Computer Occupations, All Other",381380,93350
17-2060,Computer Hardware Engineers,60750,117840
17-2061,Computer Hardware Engineers,60750,117840
17-2072,"Electronics Engineers, Except Computer",134110,107930
25-1020,"Math and Computer Teachers, Postsecondary",83690,90650
25-1021,"Computer Science Teachers, Postsecondary",32430,96200
43-9010,Computer Operators,34700,46750
43-9011,Computer Operators,34700,46750
43-9070,"Office Machine Operators, Except Computer",48580,34530
43-9071,"Office Machine Operators, Except Computer",48580,34530
49-2010,"Computer, Automated Teller, and Office Machine Repairers",102810,40880
49-2011,"Computer, Automated Teller, and Office Machine Repairers",102810,40880
51-4010,Computer Control Programmers and Operators,171920,43940
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",148150,41960
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",23770,56300
