occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,645970,187990
11-3021,Computer and Information Systems Managers,645970,187990
15-0000,Computer and Mathematical Occupations,5192890,116810
15-1200,Computer Occupations,4786660,116770
15-1210,Computer and Information Analysts,677230,116130
15-1211,Computer Systems Analysts,497800,111960
15-1212,Information Security Analysts,179430,127730
15-1220,Computer and Information Research Scientists,38480,152310
15-1221,Computer and Information Research Scientists,38480,152310
15-1230,Computer Support Specialists,843660,67530
15-1231,Computer Network Support Specialists,146450,79610
15-1232,Computer User Support Specialists,697210,64990
15-1240,Database and Network Administrators and Architects,633540,115840
15-1241,Computer Network Architects,177010,135890
15-1242,Database Administrators,73180,107440
15-1243,Database Architects,64770,142620
15-1244,Network and Computer Systems Administrators,318570,101190
15-1250,"Software and Web Developers, Programmers, and Testers",2154370,135910
15-1251,Computer Programmers,109870,103640
15-1252,Software Developers,1654440,144570
15-1253,Software Quality Assurance Analysts and Testers,199800,110260
15-1254,Web Developers,78860,98790
15-1290,Miscellaneous Computer Occupations,439380,116700
15-1299,"Computer Occupations, All Other",439380,116700
15-2050,Data Scientists,233440,124590
15-2051,Data Scientists,233440,124590
17-2060,Computer Hardware Engineers,75710,156770
17-2061,Computer Hardware Engineers,75710,156770
17-2072,"Electronics Engineers, Except Computer",93940,132500
25-1020,"Math and Computer Science Teachers, Postsecondary",85060,98400
25-1021,"Computer Science Teachers, Postsecondary",36240,105830
43-9070,"Office Machine Operators, Except Computer",24740,41620
43-9071,"Office Machine Operators, Except Computer",24740,41620
49-2010,"Computer, Automated Teller, and Office Machine Repairers",73010,49820
49-2011,"Computer, Automated Teller, and Office Machine Repairers",73010,49820
51-9160,Computer Numerically Controlled Tool Operators and Programmers,205190,55240
51-9161,Computer Numerically Controlled Tool Operators,176950,52900
51-9162,Computer Numerically Controlled Tool Programmers,28230,69880
