occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,592600,180720
11-3021,Computer and Information Systems Managers,592600,180720
15-0000,Computer and Mathematical Occupations,5177400,113140
15-1200,Computer Occupations,4804840,113270
15-1210,Computer and Information Analysts,674170,114420
15-1211,Computer Systems Analysts,498810,110800
15-1212,Information Security Analysts,175350,124740
15-1220,Computer and Information Research Scientists,35210,157160
15-1221,Computer and Information Research Scientists,35210,157160
15-1230,Computer Support Specialists,848420,66450
15-1231,Computer Network Support Specialists,158720,78640
15-1232,Computer User Support Specialists,689700,63640
15-1240,Database and Network Administrators and Architects,633180,113710
15-1241,Computer Network Architects,174100,133930
15-1242,Database Administrators,76140,104810
15-1243,Database Architects,59920,137030
15-1244,Network and Computer Systems Administrators,323020,100580
15-1250,"Software and Web Developers, Programmers, and Testers",2176710,130500
15-1251,Computer Programmers,120370,107750
15-1252,Software Developers,1656880,138110
15-1253,Software Quality Assurance Analysts and Testers,203040,108460
15-1254,Web Developers,85350,95570
15-1290,Miscellaneous Computer Occupations,437170,112430
15-1299,"Computer Occupations, All Other",437170,112430
15-2050,Data Scientists,192710,119040
15-2051,Data Scientists,192710,119040
17-2060,Computer Hardware Engineers,82660,147770
17-2061,Computer Hardware Engineers,82660,147770
17-2072,"Electronics Engineers, Except Computer",96410,124190
25-1020,"Math and Computer Science Teachers, Postsecondary",84380,100060
25-1021,"Computer Science Teachers, Postsecondary",36150,106380
43-9070,"Office Machine Operators, Except Computer",27960,39600
43-9071,"Office Machine Operators, Except Computer",27960,39600
49-2010,"Computer, Automated Teller, and Office Machine Repairers",77580,48290
49-2011,"Computer, Automated Teller, and Office Machine Repairers",77580,48290
51-9160,Computer Numerically Controlled Tool Operators and Programmers,215710,53200
51-9161,Computer Numerically Controlled Tool Operators,187670,51030
51-9162,Computer Numerically Controlled Tool Programmers,28030,67650
