occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,341250,141000
11-3021,Computer and Information Systems Managers,341250,141000
15-0000,Computer and Mathematical Occupations,4005250,86170
15-1100,Computer Occupations,3853860,86090
15-1110,Computer and Information Research Scientists,25510,115580
15-1111,Computer and Information Research Scientists,25510,115580
15-1120,Computer and Information Analysts,645550,90600
15-1121,Computer Systems Analysts,556660,90180
15-1122,Information Security Analysts,88880,93250
15-1130,Software Developers and Programmers,1554960,97930
15-1131,Computer Programmers,289420,84360
15-1132,"Software Developers, Applications",747730,102160
15-1133,"Software Developers, Systems Software",390750,108760
15-1134,Web Developers,127070,70660
15-1140,Database and Systems Administrators and Network Architects,634850,87400
15-1141,Database Administrators,113770,84250
15-1142,Network and Computer Systems Administrators,374480,82200
15-1143,Computer Network Architects,146600,103100
15-1150,Computer Support Specialists,769630,55980
15-1151,Computer User Support Specialists,585060,52430
15-1152,Computer Network Support Specialists,184570,67260
15-1190,Miscellaneous Computer Occupations,223370,87310
15-1199,"Computer Occupations, All Other",223370,87310
17-2060,Computer Hardware Engineers,75870,114970
17-2061,Computer Hardware Engineers,75870,114970
17-2072,"Electronics Engineers, Except Computer",135390,102390
25-1020,"Math and Computer Teachers, Postsecondary",87610,80140
25-1021,"Computer Science Teachers, Postsecondary",33760,84700
43-9010,Computer Operators,51510,42140
43-9011,Computer Operators,51510,42140
43-9070,"Office Machine Operators, Except Computer",63290,30980
43-9071,"Office Machine Operators, Except Computer",63290,30980
49-2010,"Computer, Automated Teller, and Office Machine Repairers",106100,38990
49-2011,"Computer, Automated Teller, and Office Machine Repairers",106100,38990
51-4010,Computer Control Programmers and Operators,172260,40650
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",146600,38720
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",25660,51630
