occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,352510,145740
11-3021,Computer and Information Systems Managers,352510,145740
15-0000,Computer and Mathematical Occupations,4165140,87880
15-1100,Computer Occupations,3997370,87870
15-1110,Computer and Information Research Scientists,26580,116320
15-1111,Computer and Information Research Scientists,26580,116320
15-1120,Computer and Information Analysts,665830,92260
15-1121,Computer Systems Analysts,568960,91620
15-1122,Information Security Analysts,96870,96040
15-1130,Software Developers and Programmers,1604570,100080
15-1131,Computer Programmers,271200,85180
15-1132,"Software Developers, Applications",794000,104300
15-1133,"Software Developers, Systems Software",409820,110590
15-1134,Web Developers,129540,72150
15-1140,Database and Systems Administrators and Network Architects,647610,89750
15-1141,Database Administrators,113730,87130
15-1142,Network and Computer Systems Administrators,376820,84500
15-1143,Computer Network Architects,157070,104240
15-1150,Computer Support Specialists,791580,56600
15-1151,Computer User Support Specialists,602840,53100
15-1152,Computer Network Support Specialists,188740,67770
15-1190,Miscellaneous Computer Occupations,261210,88880
15-1199,"Computer Occupations, All Other",261210,88880
17-2060,Computer Hardware Engineers,72950,118700
17-2061,Computer Hardware Engineers,72950,118700
17-2072,"Electronics Engineers, Except Computer",132100,103760
25-1020,"Math and Computer Teachers, Postsecondary",84560,85350
25-1021,"Computer Science Teachers, Postsecondary",32540,89670
43-9010,Computer Operators,46810,43880
43-9011,Computer Operators,46810,43880
43-9070,"Office Machine Operators, Except Computer",58160,32390
43-9071,"Office Machine Operators, Except Computer",58160,32390
49-2010,"Computer, Automated Teller, and Office Machine Repairers",102170,39410
49-2011,"Computer, Automated Teller, and Office Machine Repairers",102170,39410
51-4010,Computer Control Programmers and Operators,171370,41640
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",146190,39590
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",25180,53560
