occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,433960,156390
11-3021,Computer and Information Systems Managers,433960,156390
15-0000,Computer and Mathematical Occupations,4552880,93760
15-1200,Computer Occupations,4358410,93620
15-1210,Computer and Information Analysts,714640,97570
15-1211,Computer Systems Analysts,589060,96160
15-1212,Information Security Analysts,125570,104210
15-1220,Computer and Information Research Scientists,30780,127460
15-1221,Computer and Information Research Scientists,30780,127460
15-1230,Computer Support Specialists,832750,59290
15-1231,Computer Network Support Specialists,185430,68860
15-1232,Computer User Support Specialists,647330,56550
15-1240,Database and Network Administrators and Architects,632330,96380
15-1241,Computer Network Architects,152420,115110
15-1244,Network and Computer Systems Administrators,354450,88410
15-1245,Database Administrators and Architects,125460,96110
15-1250,"Software and Web Developers, Programmers, and Testers",1754750,106980
15-1251,Computer Programmers,199540,92610
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,1406870,111620
15-1257,Web Developers and Digital Interface Designers,148340,82370
15-1290,Miscellaneous Computer Occupations,393160,92410
15-1299,"Computer Occupations, All Other",393160,92410
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",30810,100560
17-2060,Computer Hardware Engineers,67880,123030
17-2061,Computer Hardware Engineers,67880,123030
17-2072,"Electronics Engineers, Except Computer",128800,110210
25-1020,"Math and Computer Science Teachers, Postsecondary",82940,90970
25-1021,"Computer Science Teachers, Postsecondary",31800,98430
43-9070,"Office Machine Operators, Except Computer",45960,35150
43-9071,"Office Machine Operators, Except Computer",45960,35150
49-2010,"Computer, Automated Teller, and Office Machine Repairers",98260,42070
49-2011,"Computer, Automated Teller, and Office Machine Repairers",98260,42070
51-9160,Computer Numerically Controlled Tool Operators and Programmers,177270,45560
51-9161,Computer Numerically Controlled Tool Operators,151700,43170
51-9162,Computer Numerically Controlled Tool Programmers,25570,59730
