occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,533220,173670
11-3021,Computer and Information Systems Managers,533220,173670
15-0000,Computer and Mathematical Occupations,5003910,108130
15-1200,Computer Occupations,4677500,108100
15-1210,Computer and Information Analysts,668900,110550
15-1211,Computer Systems Analysts,505210,107530
15-1212,Information Security Analysts,163690,119860
15-1220,Computer and Information Research Scientists,33780,155880
15-1221,Computer and Information Research Scientists,33780,155880
15-1230,Computer Support Specialists,865750,64410
15-1231,Computer Network Support Specialists,168920,76060
15-1232,Computer User Support Specialists,696830,61580
15-1240,Database and Network Administrators and Architects,642840,110400
15-1241,Computer Network Architects,173920,129490
15-1242,Database Administrators,80520,102530
15-1243,Database Architects,62470,136540
15-1244,Network and Computer Systems Administrators,325930,97160
15-1250,"Software and Web Developers, Programmers, and Testers",2049920,124940
15-1251,Computer Programmers,132740,102790
15-1252,Software Developers,1534790,132930
15-1253,Software Quality Assurance Analysts and Testers,196420,105750
15-1254,Web Developers,88620,87580
15-1290,Miscellaneous Computer Occupations,416320,104660
15-1299,"Computer Occupations, All Other",416320,104660
15-2050,Data Scientists,159630,115240
15-2051,Data Scientists,159630,115240
17-2060,Computer Hardware Engineers,74640,140830
17-2061,Computer Hardware Engineers,74640,140830
17-2072,"Electronics Engineers, Except Computer",106640,118460
25-1020,"Math and Computer Science Teachers, Postsecondary",80430,93690
25-1021,"Computer Science Teachers, Postsecondary",33870,98610
43-9070,"Office Machine Operators, Except Computer",30410,38300
43-9071,"Office Machine Operators, Except Computer",30410,38300
49-2010,"Computer, Automated Teller, and Office Machine Repairers",81440,47120
49-2011,"Computer, Automated Teller, and Office Machine Repairers",81440,47120
51-9160,Computer Numerically Controlled Tool Operators and Programmers,207480,50200
51-9161,Computer Numerically Controlled Tool Operators,179360,47940
51-9162,Computer Numerically Controlled Tool Programmers,28120,64580
