occ_code,occ_title,tot_emp,a_mean
11-3021,Computer and Information Systems Managers,300830,125660
15-0000,Computer and Mathematical Occupations,3406720,78730
15-1111,Computer and Information Research Scientists,25160,103160
15-1121,Computer Systems Analysts,487740,82320
15-1131,Computer Programmers,320100,76010
15-1132,"Software Developers, Applications",539880,92080
15-1133,"Software Developers, Systems Software",387050,100420
15-1141,Database Administrators,108500,77350
15-1142,Network and Computer Systems Administrators*,341800,74270
15-1150,Computer Support Specialists,632490,51820
15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",272670,81670
15-1799,"Computer Occupations, All Other*",177630,80500
17-2061,Computer Hardware Engineers,71990,101360
17-2072,"Electronics Engineers, Except Computer",136310,94670
25-1021,"Computer Science Teachers, Postsecondary",33510,80460
43-9011,Computer Operators,77280,39280
43-9071,"Office Machine Operators, Except Computer",66280,29190
49-2011,"Computer, Automated Teller, and Office Machine Repairers",111690,38360
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",128870,36520
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",20370,48460
