occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,485190,162930
11-3021,Computer and Information Systems Managers,485190,162930
15-0000,Computer and Mathematical Occupations,4654750,99860
15-1200,Computer Occupations,4389910,99620
15-1210,Computer and Information Analysts,662370,104840
15-1211,Computer Systems Analysts,505150,102210
15-1212,Information Security Analysts,157220,113270
15-1220,Computer and Information Research Scientists,30840,142650
15-1221,Computer and Information Research Scientists,30840,142650
15-1230,Computer Support Specialists,830510,60550
15-1231,Computer Network Support Specialists,176200,71350
15-1232,Computer User Support Specialists,654310,57650
15-1240,Database and Network Administrators and Architects,621900,102440
15-1241,Computer Network Architects,168830,120650
15-1242,Database Administrators,85870,96550
15-1243,Database Architects,50440,121840
15-1244,Network and Computer Systems Administrators,316760,91250
15-1250,"Software and Web Developers, Programmers, and Testers",1874100,113720
15-1251,Computer Programmers,152610,96650
15-1252,Software Developers,1364180,120990
15-1253,Software Quality Assurance Analysts and Testers,190120,97710
15-1254,Web Developers,84820,81320
15-1290,Miscellaneous Computer Occupations,370190,98180
15-1299,"Computer Occupations, All Other",370190,98180
15-2050,Data Scientists,105980,108660
15-2051,Data Scientists,105980,108660
17-2060,Computer Hardware Engineers,73750,136230
17-2061,Computer Hardware Engineers,73750,136230
17-2072,"Electronics Engineers, Except Computer",107170,115490
25-1020,"Math and Computer Science Teachers, Postsecondary",81740,88730
25-1021,"Computer Science Teachers, Postsecondary",37600,89610
43-9070,"Office Machine Operators, Except Computer",32920,37110
43-9071,"Office Machine Operators, Except Computer",32920,37110
49-2010,"Computer, Automated Teller, and Office Machine Repairers",86420,44170
49-2011,"Computer, Automated Teller, and Office Machine Repairers",86420,44170
51-9160,Computer Numerically Controlled Tool Operators and Programmers,183630,48500
51-9161,Computer Numerically Controlled Tool Operators,157840,46240
51-9162,Computer Numerically Controlled Tool Programmers,25800,62360
