occ_code,occ_title,tot_emp,a_mean
11-3020,Computer and Information Systems Managers,457290,161730
11-3021,Computer and Information Systems Managers,457290,161730
15-0000,Computer and Mathematical Occupations,4587700,96770
15-1200,Computer Occupations,4368000,96630
15-1210,Computer and Information Analysts,712460,100680
15-1211,Computer Systems Analysts,574450,99020
15-1212,Information Security Analysts,138000,107580
15-1220,Computer and Information Research Scientists,30220,130890
15-1221,Computer and Information Research Scientists,30220,130890
15-1230,Computer Support Specialists,819040,60160
15-1231,Computer Network Support Specialists,184220,71040
15-1232,Computer User Support Specialists,634820,57000
15-1240,Database and Network Administrators and Architects,632540,99420
15-1241,Computer Network Architects,159350,119230
15-1244,Network and Computer Systems Administrators,339560,89460
15-1245,Database Administrators and Architects,133630,101090
15-1250,"Software and Web Developers, Programmers, and Testers",1811160,109950
15-1251,Computer Programmers,178140,95640
15-1256,Software Developers and Software Quality Assurance Analysts and Testers,1476800,114270
15-1257,Web Developers and Digital Interface Designers,156220,85490
15-1290,Miscellaneous Computer Occupations,362580,96740
15-1299,"Computer Occupations, All Other",362580,96740
15-2098,"Data Scientists and Mathematical Science Occupations, All Other",59680,103930
17-2060,Computer Hardware Engineers,64710,126140
17-2061,Computer Hardware Engineers,64710,126140
17-2072,"Electronics Engineers, Except Computer",122320,112320
25-1020,"Math and Computer Science Teachers, Postsecondary",81780,91450
25-1021,"Computer Science Teachers, Postsecondary",32230,98680
43-9070,"Office Machine Operators, Except Computer",40640,36580
43-9071,"Office Machine Operators, Except Computer",40640,36580
49-2010,"Computer, Automated Teller, and Office Machine Repairers",91930,43790
49-2011,"Computer, Automated Teller, and Office Machine Repairers",91930,43790
51-9160,Computer Numerically Controlled Tool Operators and Programmers,174650,46740
51-9161,Computer Numerically Controlled Tool Operators,149120,44300
51-9162,Computer Numerically Controlled Tool Programmers,25530,61010
