occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",24720,88020
15-1021,Computer programmers,412090,65910
15-1031,"Computer software engineers, applications",425890,77330
15-1032,"Computer software engineers, systems software",318020,82160
15-1041,Computer support specialists,488540,43620
15-1051,Computer systems analysts,489130,68370
15-1061,Database administrators,96960,63460
15-1071,Network and computer systems administrators,259320,61470
15-1081,Network systems and data communications analysts,169200,63410
15-1099,"Computer specialists, all other",130420,63030
